Область,Максимальний бал в 2019,Максимальний бал в 2020
Вінницька область,200.00,199.50
Волинська область,200.00,199.50
Дніпропетровська область,199.50,200.00
Донецька область,200.00,199.00
Житомирська область,199.50,199.50
Закарпатська область,199.50,199.50
Запорізька область,200.00,199.00
Івано-Франківська область,199.50,200.00
Київська область,199.50,199.50
Кіровоградська область,199.50,198.00
Луганська область,199.00,199.00
Львівська область,200.00,200.00
м.Київ,199.50,199.50
Миколаївська область,199.50,199.00
Одеська область,199.50,199.50
Полтавська область,200.00,199.50
Рівненська область,199.50,199.50
Сумська область,199.50,199.50
Тернопільська область,200.00,199.00
Харківська область,200.00,199.50
Херсонська область,199.00,198.00
Хмельницька область,199.50,199.50
Черкаська область,199.50,199.50
Чернівецька область,199.00,200.00
Чернігівська область,199.50,200.00
